codebook,cname,edate,ccode,year,month,coup,confidence,added,coder,cmps,mmdd,Narrative,confirmed,sources,location1,location2,location3,location4,location5,location6,location7,location8,Johnson
,Congo Kinshasa,11/28/1997,490,1997,11,0,1,1,cmps,1,0,"Army troops clashed in barracks in Western Kinshasa when a group of soldiers in two jeeps pulled up and began firing in the air next to the Hotel Intercontinental, leading to 11 casualties. Later (that same day or into 29 November) army units clashed near the presidential palace with 18 soldiers being killed. The soldiers were reportedly protesting the arrest of General Anselme Masasu Mindanga. In addition, there were speculative reports that the mutinous soldiers were also protesting out of discontent given they did not hail from Kabilia’s region of Katanga.",,"1. Unpaid soldiers mutiny in Congolese port city. The Associated Press January 22 1998. LN. 2. Congolese general arrested, aide says. Associated Press International. November 25 1997. LN. 3. 18 reported dead as soldiers battle in capital of Congo. The Associated Press. November 29 1997. Google. 4. Congolese army units clash; 18 reported kiled. Associated Press. November 30 1997. Google. 5. Rebel commander's body found. News 24 Archives. April 15 2001. Google. 6. Unpaid soldiers mutiny in Congo. The Guardian. January 23 1998. LN","Kinshasa, DRC",,,,,,,,
,Congo Kinshasa,1/21/1998,490,1998,1,0,1,1,cmps,1,1,"Soldiers in the port city of Matadi engaged in gunfire after mutinous soldiers fired into the air. The mutiny was brought on when a military commander attempted to get a car through customs without paying taxes, prompting soldiers loyal to the commander to open gunfire. Two civilians and one soldier were reportedly killed. The underlying cause of the mutiny; however, was said to be unrest due to soldiers disgruntled over their lack of pay and claims that superiors had been embezzling their salaries.",,1. Gunfire erupts in DRCongo port city. Agence France Presse. January 22 1998. LN. 2. Unpaid soldiers mutiny in Congolese port city. The Associated Press. January 22 1998. LN. 3. Official: Congolese battle sparked by customs dispute. The Associated Press. January 23 1998. LN. 4. Unpaid soldiers mutiny in Congo. The Guardian. January 23 1998. LN. 5. Soldiers mutiny. The Independent. January 23 1998. LN. 6. DRCongo army shoot-out killed three. Agence France Presse. January 26 1998. LN.,"Matadi, DRC",,,,,,,,
,Congo Kinshasa,8/2/1998,490,1998,8,0,0,0,jmp,0,1,"This is inter-ethnic fighting involving the Banyamulenge, not a mutiny",,MMDD,,,,,,,,,
,Congo Kinshasa,6/16/2009,490,2009,6,0,1,1,cmps,1,1,Congolese army soldiers fired shots into the air and at a UN base in dispute over backpay. The soldiers had not been paid for approximately five to six months and were protesting their new redeployment orders as part of the UN Mission to combat the FDLR. A UN peacekeeper claimed that army commanders are not handing out the soldiers’ salaries. 27 soldiers were arrested for firing their weapons at the UN peacekeepers’ base in North Kivu.,,1. DRCongo soldiers fire shots at UN base over no pay. Agence France Presse. June 17 2009. LN. 2. Congo troops fire on UN. Voice of America News. June 17 2009. LN. 3. DRCongo army soldiers in east mutiny over unpaid wages; refuse deployment. BBC Monitoring Africa. June 18 2009. LN. 4. Congo troops fier at UN base in pay dispute. Right Vision News. June 19 2009. LN.,"Pinga (North Kivu), DRC",,,,,,,,
,Congo Kinshasa,8/28/2009,490,2009,8,0,1,1,cmps,1,0,"Approximately 50 soldiers of the Congolese army (FARDC) mutinied over pay in the Uvira territory where they were stationed as part of an operation to oust the FDLR. The soldiers were demanding four months’ worth of salary arrears. They blocked roads and fired into the air, inhibiting any civilian movement. Military authorities were reportedly able to convince the mutinous soldiers to remove blockades regardless of whether they were paid or not.",,1. Congo-Kinshasa; Mutinous soldiers add to civilian fear in East. Africa News. August 28 2009. LN.,"Uvira (South Kivu), DRC",,,,,,,,
,Congo Kinshasa,2/15/2012,490,2012,2,0,1,1,cmps,1,1,Soldiers at the Marabo base in the Ituri district stormed the streets and fired into the air for several hours. The soldiers announced that they were mutinying in protest of their tough living conditions and against corruption within the national army. Some of the mutineers had been in the operational zone between six and eight years.,,1. DRCongo army chief says mutiny among troops in northeast checked. BBC Monitoring Africa. February 21 2012. LN.,"Ituri (Orientale), DRC",,,,,,,,
,Uganda,1/23/1964,500,1964,1,0,1,1,cmps,1,1,"Soldiers mutinied in their barracks at Jinga, taking the interior minister hostage. Initial protests were related to pay raises.",,1. Troops ask $42 a month. The New York Times. January 24 1964. PROQ. 2. Troops in Uganda mutiny over pay. The New York Times. January 23 1964. PROQ. 3. African Unrest. New York Times. January 26 1964. PROQ. 4. Britian keeps up patrol in Africa. The New York Times. January 27 1964. PROQ.,"Jinja, Uganda",,,,,,,,
,Uganda,3/23/1974,500,1974,3,1,0,2,jmp,0,0,"Soldiers opposed to Brigadier Marella and the killing of Michael Ondoga, an officer, prompts a mutiny in the Malire Barracks",Coup attempt from the start,hd,,,,,,,,,
,Uganda,11/8/1974,500,1974,11,0,0,0,jmp,0,0,"Members of the army special commandos reportedly mutinied over poor food and low wages, with 15 deaths said to have occurred; this was denied by the government, and Le Monde speculated the report (coming out of Dar es Salaam, was pro-Obote disinformation)",staged?,"1. LM, 15 soldiers killed in mutiny. November 12.",,,https://web.stanford.edu/group/tomzgroup/pmwiki/uploads/1382-1975-01-KS-a-RRW.pdf,,,,,,
,Uganda,7/15/1976,500,1976,7,0,1,2,jmp,0,0,"Soldier in Mubende and Mbombo mutiny due to pay arrears, apparent order to prepare Kenya invasion.",,,,,,,,,,,
